nextcloud,2016/07/30 23:30:52,0:00:00
alpine,2019/03/01 01:06:13,2:21:29
tomee,2014/11/29 23:37:08,0:00:00
redmine,2015/06/20 11:11:58,2:51:08
unit,2018/01/31 01:09:57,377 days, 23:09:57
yourls,2017/11/29 08:17:41,17 days, 13:08:28
adminer,2018/02/10 05:51:33,652 days, 7:02:47
docker,2015/04/07 13:04:07,-1 day, 23:37:38
monica,2020/02/28 20:30:41,13:01:40
notary,2023/10/16 22:37:53,2813 days, 18:22:02
fluentd,2016/08/19 05:33:47,455 days, 13:27:12
couchdb,2019/12/07 10:05:50,2179 days, 11:38:27
oraclelinux,2022/11/26 10:41:00,3109 days, 9:10:42
drupal,2015/04/15 08:20:33,0:00:00
satosa,2022/03/16 04:46:22,0:00:00
mariadb,2014/11/25 08:31:55,2 days, 23:04:44
tomcat,2014/10/24 05:34:33,23:05:24
kibana,2015/05/28 08:40:03,26 days, 0:07:57
debian,2017/06/07 08:10:31,0:21:20
cirros,2018/07/19 02:45:54,0:04:21
wordpress,2014/08/12 07:32:47,1:00:43
python,2014/09/09 08:44:22,80 days, 2:52:00
clojure,2018/11/05 08:59:35,1545 days, 2:21:54
logstash,2015/02/20 08:03:44,6 days, 1:11:49
redis,2014/08/19 08:33:38,3:37:19
golang,2014/08/14 00:17:24,12 days, 20:58:29
jetty,2020/05/21 23:40:31,20:36:23
dart,2021/04/23 22:56:56,-1 day, 23:28:02
nats-streaming,2021/07/29 01:36:50,1815 days, 20:06:37
centos,2016/06/29 23:28:40,890 days, 12:52:07
haxe,2016/12/20 17:10:45,0:00:00
phpmyadmin,2015/11/06 11:27:39,0:00:00
maven,2019/08/24 19:17:39,1780 days, 18:50:43
rockylinux,2023/04/07 22:50:11,672 days, 8:04:54
perl,2014/10/04 14:10:38,90 days, 13:43:41
percona,2018/03/29 16:40:33,811 days, 6:03:19
websphere-liberty,2023/10/28 02:19:31,3258 days, 0:04:34
arangodb,2015/06/03 22:31:42,283 days, 4:07:30
rust,2017/08/02 13:29:07,0:35:41
geonetwork,2016/12/01 03:32:18,21 days, 9:40:55
kong,2019/04/25 06:40:05,1524 days, 17:35:34
ibmjava,2016/05/01 22:18:53,18 days, 2:14:10
buildpack-deps,2015/06/19 08:02:51,394 days, 23:43:58
gcc,2014/08/28 08:01:22,2 days, 0:20:50
rabbitmq,2014/12/30 09:16:31,19 days, 3:49:27
hello-world,2015/06/19 07:48:25,344 days, 2:55:31
rethinkdb,2015/04/04 07:36:44,99 days, 18:24:48
php,2014/08/21 08:08:35,3:22:05
bonita,2020/10/13 16:04:33,1532 days, 23:46:36
varnish,2019/05/05 11:10:44,-1 day, 23:57:17
bash,2016/10/01 06:08:50,-1 day, 23:52:24
neurodebian,2014/08/13 04:35:02,0:00:00
solr,2020/09/12 01:29:29,6939 days, 18:44:53
ghost,2015/02/20 16:32:21,0:49:24
gradle,2018/09/23 10:34:20,644 days, 2:02:43
influxdb,2021/02/18 08:22:17,1715 days, 8:39:56
memcached,2015/01/01 07:24:57,1 day, 21:50:14
openjdk,2014/08/16 08:00:23,71 days, 0:41:30
busybox,2015/02/03 15:02:09,0:00:00
pypy,2014/12/20 07:07:13,2 days, 22:30:57
postgres,2014/08/02 06:15:58,39 days, 5:12:04
nats,2021/06/22 02:08:04,2144 days, 19:24:34
httpd,2014/10/28 06:25:13,4 days, 23:56:19
crate,2018/11/15 19:32:28,1535 days, 1:01:08
nginx,2020/11/02 19:06:43,2237 days, 21:45:48
irssi,2015/01/24 03:19:06,1 day, 1:04:04
eclipse-temurin,2021/08/04 04:02:29,10:12:47
aerospike,2015/01/31 07:54:47,168 days, 15:21:38
cassandra,2015/05/01 07:01:26,-1 day, 23:59:18
rocket.chat,2016/01/07 04:12:28,180 days, 23:56:19
convertigo,2018/01/26 00:42:37,2295 days, 7:09:42
jruby,2017/03/07 04:02:26,901 days, 18:31:38
mysql,2014/08/09 08:29:19,78 days, 6:59:01
archlinux,2017/04/09 01:10:19,0:00:40
mongo-express,2015/04/04 09:06:31,1 day, 22:03:27
hylang,2019/05/09 16:54:41,1:27:29
almalinux,2022/09/14 14:04:36,585 days, 19:19:28
julia,2015/03/07 09:17:51,5:57:52
mongo,2014/08/19 06:43:48,2 days, 21:31:09
groovy,2018/09/23 10:36:32,650 days, 18:10:47
postfixadmin,2018/01/26 11:27:07,186 days, 14:29:45
node,2015/01/14 04:44:22,32 days, 2:08:52
sonarqube,2021/07/02 21:20:17,2249 days, 4:18:30
silverpeas,2016/10/18 16:13:07,174 days, 21:19:07
friendica,2018/05/19 04:20:22,3 days, 9:17:57
express-gateway,2018/08/02 11:05:24,0:19:45
caddy,2019/10/30 08:49:38,11 days, 3:15:06
amazoncorretto,2020/05/15 03:10:13,545 days, 18:46:04
mediawiki,2015/08/13 14:16:12,306 days, 10:27:42
elasticsearch,2018/09/17 15:17:50,1347 days, 6:11:55
joomla,2018/06/04 02:30:16,1043 days, 22:04:40
ruby,2014/08/15 03:58:13,1 day, 21:31:50
ibm-semeru-runtimes,2021/08/10 19:15:20,7 days, 1:25:38
traefik,2020/08/11 18:34:02,0:15:29
spark,2022/10/17 17:23:23,6 days, 23:42:49
matomo,2015/09/24 00:42:13,0:00:00
haproxy,2014/11/26 13:54:48,4 days, 5:27:03
couchbase,2015/03/25 12:56:35,6:15:34
